0,4957.458,2981.184,1494.877,994.8775,1244.877,909.8775
1,4894.861,2957.535,1489.218,989.2175,1239.218,919.2175
2,4839.254,2949.21,1470.042,970.0424,1220.042,900.0424
3,4773.971,2926.95,1455.659,955.6591,1205.659,900.6591
4,4726.261,2899.138,1446.21,961.2102,1196.21,891.2102
5,4678.423,2876.234,1428.456,943.4557,1178.456,888.4557
6,4614.768,2862.72,1410.481,925.481,1160.481,870.481
7,4555.907,2836.309,1419.952,919.9518,1154.952,864.9518
8,4496.532,2804.173,1408.401,908.4011,1143.401,868.4011
9,4424.087,2779.266,1402.53,902.53,1137.53,877.53
10,4356.013,2769.274,1389.284,889.2842,1124.284,864.2842
11,4290.811,2736.885,1382.364,882.3634,1117.364,872.3634
12,4233.096,2704.616,1368.644,883.644,1103.644,858.644
13,4187.671,2672.005,1370.667,870.6664,1090.667,845.6664
14,4134.127,2652.652,1357.5,857.5001,1077.5,832.5001
15,4070.87,2614.634,1338.105,838.1045,1058.105,828.1045
16,4012.509,2582.397,1328.414,843.4137,1048.414,818.4137
17,3947.636,2543.333,1333.959,833.9591,1038.959,808.9591
18,3903.144,2510.098,1326.057,826.0566,1031.057,816.0566
19,3846.725,2471.289,1310.986,810.9857,1015.986,815.9857
20,3803.235,2428.506,1315.133,800.1328,1005.133,805.1328
21,3755.896,2389.032,1303.449,788.4493,993.4495,808.4493
22,3689.445,2347.592,1283.535,783.5352,973.5354,788.5352
23,3642.417,2304.715,1277.413,792.4125,967.4127,782.4125
24,3596.401,2262.423,1273.967,773.9666,948.9667,763.9666
25,3555.323,2230.391,1267.364,767.3634,942.3636,757.3634
26,3511.095,2183.576,1256.436,756.4354,931.4356,761.4354
27,3443.121,2138.126,1237.741,737.7404,912.7406,757.7404
28,3402.55,2086.528,1226.2,726.1994,901.1996,761.1994
29,3351.609,2034.168,1215.592,715.5916,890.5917,765.5916
30,3289.064,1982.699,1221.094,706.0939,881.0941,756.0939
31,3229.167,1932.539,1205.092,705.0914,865.0916,740.0914
32,3192.52,1880.101,1186.696,686.6957,846.6959,736.6957
33,3147.471,1825.437,1180.757,680.7567,840.7569,745.7567
34,3081.816,1770.811,1173.765,673.7644,833.7646,753.7644
35,3013.934,1714.778,1166.846,666.8457,826.8459,761.8457
36,2957.46,1662.104,1154.289,669.2886,814.2888,749.2886
37,2891.163,1608.423,1138.07,653.0696,798.0698,748.0696
38,2846.737,1551.073,1124.745,639.7451,784.7453,749.7451
39,2796.047,1496.824,1130.514,630.5135,775.5137,740.5135
40,2755.3,1441.754,1117.702,617.7021,762.7023,742.7021
41,2696.039,1383.535,1105.326,605.3254,750.3256,745.3254
42,2652.57,1335.396,1094.939,594.9389,739.9391,734.9389
43,2582.516,1273.636,1102.487,587.487,732.4872,727.487
44,2528.306,1217.423,1085.239,585.2389,715.2391,710.2389
45,2459.014,1153.76,1076.797,576.7968,706.7969,716.7968
46,2404.967,1087.914,1063.726,563.7263,693.7264,718.7263
47,2347.785,1027.875,1048.183,548.1831,678.1833,718.1831
48,2288.454,958.6494,1030.361,530.3614,660.3616,715.3614
49,2227.691,896.1513,1037.723,522.7231,652.7233,707.7231
50,2183.082,828.6017,1022.973,507.9731,637.9732,707.973
51,2137.239,764.4595,1008.457,508.4566,623.4568,693.4566
52,2088.725,698.8915,997.8832,497.8833,612.8834,697.8832
53,2019.532,627.4135,985.0227,485.0227,600.0229,700.0227
54,1968.554,557.1641,979.1769,479.1769,594.1771,709.1769
55,1908,489.743,961.7555,461.7555,576.7557,706.7555
56,1851.569,428.0551,945.0997,445.0997,560.0999,690.0997
57,1789.234,351.6707,939.8885,454.8885,554.8887,684.8885
58,1730.418,275.4557,940.007,440.007,540.0072,670.007
59,1677.157,219.1411,930.7426,430.7425,530.7427,660.7426
60,1640.471,146.162,911.5015,411.5014,511.5016,656.5015
61,1581.813,69.05621,911.959,396.9589,496.9592,641.959
62,1530.886,4.135136,905.9891,390.989,490.9893,635.9891
63,1470.413,-78.69591,895.9574,380.9573,480.9576,640.9574
